Date,Open,High,Low,Close
2007-10-26,19.50383295835046,21.533451691597083,17.681443705806874,21.326223373413086
2007-10-29,21.088519334610282,21.088519334610282,19.503833770751953,19.503833770751953
2007-10-30,19.50383438310987,19.656208089227913,18.900434646384703,18.985763549804688
2007-10-31,19.21128319103893,20.113335536076473,19.192997922044576,19.8085880279541
2007-11-01,19.869536661256603,20.101145419159646,19.27223298500633,20.076765060424805
2007-11-05,19.62573591286696,20.058476726534124,19.38193702697754,19.38193702697754
2007-11-06,19.86953196146042,20.113330841064453,19.503835967092805,20.113330841064453
2007-11-07,19.81468125365256,21.00929321023218,19.68668786278153,20.722829818725586
2007-11-08,20.722829818725586,21.301850528668343,20.034099823739407,20.722829818725586
2007-11-09,20.783777095637415,23.03890890067202,20.783777095637415,22.551313400268555
2007-11-12,22.002760104035207,22.673205741092794,21.87476676129224,22.337984085083008
2007-11-13,22.350179562113087,22.58178830305278,21.576122991806162,21.81991958618164
2007-11-14,22.398928198492523,22.77681422729331,22.142941563670636,22.185606002807617
2007-11-16,22.23436599426675,22.429404108906464,21.27745951774137,21.48468780517578
2007-11-19,21.570017504532533,21.570017504532533,20.13160961094889,20.35712432861328
2007-11-21,20.070663303574246,20.070663303574246,18.924812465468722,19.497737884521484
2007-11-22,19.50382980314164,20.418071825163906,19.412405833443184,19.77810287475586
2007-11-23,19.96095135621159,20.052376490911634,19.442880630493164,19.442880630493164
2007-11-26,19.62573398890631,19.900007127384594,18.955289443474268,19.199087142944336
2007-11-27,19.016241614910058,19.083285264348525,18.284847259521484,18.284847259521484
2007-11-28,18.77243772065621,19.68667984008789,18.60177993570777,19.68667984008789
2007-11-29,19.717156591159693,21.082426017497443,19.717156591159693,21.076332092285156
2007-11-30,21.850397863369732,21.941823056119258,20.11333780144265,20.661884307861328
2007-12-03,20.69235626651677,20.69235626651677,19.8085880279541,19.8085880279541
2007-12-04,19.50383564317554,20.29617850117187,19.388031293538813,19.869531631469727
2007-12-05,20.11942609404049,21.27137343487171,20.11942609404049,21.02757453918457
2007-12-06,21.03367248106071,21.454225540161133,20.966629980733636,21.454225540161133
2007-12-07,21.466415652838,21.728498701157843,21.15557188620794,21.637073516845703
2007-12-10,21.515169655600573,21.94181655359485,21.484695375394956,21.850391387939453
2007-12-11,21.941812148439737,22.22827543994544,21.649254932131775,21.698013305664062
2007-12-12,21.612680234725403,21.97837842827141,21.576112042897144,21.880859375
2007-12-13,21.637067561099087,21.93572106594523,20.60092583260216,21.911340713500977
2007-12-14,21.698019601533332,22.027147437268376,21.515171578915673,21.667545318603516
2007-12-17,21.14947175366023,21.52126398405478,20.41807746887207,20.41807746887207
2007-12-18,20.722825715036105,21.076333857958108,20.113330841064453,20.113330841064453
2007-12-19,20.296169837075244,20.564348950712283,19.808574619149805,20.265695571899414
2007-12-20,20.149901370516588,20.35103346990725,19.98533747553963,20.113330841064453
2007-12-21,20.418078540281034,20.90567398071289,20.265704819831175,20.90567398071289
2007-12-26,20.966622173528467,21.42374327622134,20.1133285184865,20.844722747802734
2007-12-27,20.820348399656144,21.027576785617406,20.45465234209572,20.57045555114746
2007-12-28,20.594832614012102,20.90567398071289,20.101140922740715,20.90567398071289
2008-01-02,20.661880435447717,21.545646282876167,20.326656341552734,20.326656341552734
2008-01-03,20.411984352327472,20.533881467091057,19.997527652023674,20.113330841064453
2008-01-04,20.113323642575196,20.113323642575196,18.28483967506836,18.467687606811523
2008-01-07,18.827298888011562,18.827298888011562,17.157282841937693,17.51078987121582
2008-01-08,17.98009473185863,18.571304207924786,17.62049274421994,18.25436782836914
